NO;TGL_KOMITE;COMPANY;NO_TENDER;GOODS/SERVICES;ITEM_NAME;HARGA_SEBELUMNYA _(RP);TAHUN_PEMBELIAN_SEBELUMNYA;Purpose_Request;LINK_EPROC;PIC;VENDOR;SUMMARY_KOMITE;HASIL_FOLLOW_UP;REMARKS;VOTE;Notes
302;2026-01-27;GSE - SL ;EPR/2512/00010;;BYPASS PIN FOR GSE OPERATION;BY EXCEL ;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2512%2f00010;RATNASARI;4 vendor : Aviatec Ltd., Itthiporn Romklao, Machinery Design and Parts, Victory M Group;"Condition : semacam kunci untuk mesin stir gitu (gambar di Excel), permintaan 10 unit, vendor terendah di Itthiporn

Follow Up :
1. Nego to Itthiporn 2500 THB (same as previous price 2 tahun lalu)";"1. Di datanya, belum dapet diskon jadi masih harga yang sama dengan saat komite (2,750), dan akhirnya di nego lagi oleh Ci Fangfang ke vendornya dan sdh tidak bisa kurang lagi

Nama File : ""TENDER KOMITE SL 27-28JAN.pdf"" & ""COMPARE Summary for final vendor winner - 4 th week of JAN 26""";;CONFIRMED;
303;2026-01-27;GSE - SL ;EPR/2512/00047;;BUMPER FOR GSE ;BY EXCEL ;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2512%2f00047;RATNASARI;3 vendor : Itthiporn Romklao, Machinery Design and Parts Co.Ltd, Thai Rubber Sattaya (1999) Co.Ltd;"Condition : permintaan bumper, di JKT biasanya 2 inch dengan harga 165.000, dipasang di passenger step, belum pernah ada pembelian untuk yang 4 inch, sudah dapat sample dari Thai Rubber

Detail :
- 4’ untuk yg langsung nempel ke aircraft : pax step, conveyour belt
- 2’ untuk yg ga direct nempel ke aircraft : baggage cart, maintenance step, and another moving equipment use nearby aircraft

Follow Up :
1. Cek spec rubber 4 inch ke GSE CGK
2. Nego";"1. CGK ternyata menggunakan 2 jenis karet juga yang 2 inch (tangga teknik) dan 4 inch (tangga PBS)
2. Sudah dinego

Nama File : ""TENDER KOMITE SL 27-28JAN.pdf"" & ""COMPARE Summary for final vendor winner - 4 th week of JAN 26""";;CONFIRMED;
304;2026-01-27;GSE - SL ;EPR/2601/00002;;PAINTING ITEMS FOR 3 MONTHS (WORK TOOLS);BY EXCEL ;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2601%2f00002;RATNASARI; 3 vendor : Borneo Technical (Thailand) Limited, T.Group Engineer & Machinetool Co.Ltd, V.K. Executive Company Limited ;"Condition : tools untuk painting GSE

Follow Up :
1. CST ga join vendor karena apa dan di next harus join
2. Nego ke vendor terendah
3. Compare dengan previous price ikut harga terendah";"1. Due to they have too many sale admin to support and them haggle to support us, but now them have reached an agreement. For next tender CST will join for sure
2. Sudah dinego

Nama File : ""TENDER KOMITE SL 27-28JAN.pdf"" & ""COMPARE Summary for final vendor winner - 4 th week of JAN 26""";;CONFIRMED;
305;2026-01-27;GSE - SL ;EPR/2601/00003;;PAINTING ITEMS FOR 3 MONTHS (EQUIPMENT);BY EXCEL ;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2601%2f00003;RATNASARI; 3 vendor : Machinery Design and Parts Co.Ltd, T.Group Engineer & Machinetool Co.Ltd, V.K. Executive Company Limited ;"Condition : untuk painting materials 3 months - waste newspaper, butuh koran bekas untuk cover painting agar tidak berceceran, pembelian terakhir 6 bulan lalu

Follow Up :
1. Nego the price become 20 THB
2. Cek di market price";"1. Di datanya, belum dapet diskon jadi masih harga yang sama dengan saat komite (30)
Setelah follow up lg, SL putuskan beli waste paper ke vendor existing saja yang belum join eproc, hrgnya 20,50THB inc vat)

Nama File : ""TENDER KOMITE SL 27-28JAN.pdf"" & ""COMPARE Summary for final vendor winner - 4 th week of JAN 26""";"The price exclude vat7% is 19.16
The price include vat7% is 20.5";CONFIRMED;
306;2026-01-27;GSE - SL ;EPR/2601/00007;;BATTERIES PERIOD JAN-JUN 2026;BY EXCEL ;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2601%2f00007;RATNASARI;5 vendor : Auto Battery (Thailand) Co.Ltd, Interpart Sales LTD, Ung Prapakorn Trading Co.Ltd, World Filters Company Limited, Yakyai Battery Company Limited;"Condition : batteries aki untuk kebutuhan 6 bulan, merk di SL & JKT berbeda, ada 6 vendor yang join

Follow Up :
1. Mix to cheapest vendor";"1. Sudah mix to cheapest vendor

Nama File : ""TENDER KOMITE SL 27-28JAN.pdf"" & ""COMPARE Summary for final vendor winner - 4 th week of JAN 26""";;CONFIRMED;
307;2026-01-27;SL;EPR/2511/00019 ;;Renovation Workshop Building at Navanakorn (WBS);;;;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR%2f2511%2f00019;RENDI;4 vendor : Singmuenlan Construction Co.Ltd, Charnrinan Co.Ltd, Win54 Company Limited;"Condition : gedung workshop ini atapnya licin & bocor, belum pernah ada perbaikan dalam 10 tahun, BOQ sudah dicek tim Audit dan sesuai dan di acc oleh Pak DZ, korosifnya ada di lubang mur di rangka dan merambat ke atap (Atap akan dibongkar total karena kebocoran sudah dimana-mana - 20 titik), lantai tidak difinishing sebelumnya (hanya semen) sehingga licin, perbaikan saat ini tidak pakai semen tapi diepoxy/keramik

PU vs Epoxy :
tergantung selera, namun PU lebih awet, tebal, elastis, dan tahan banting, selisih waktu rusaknya hanya 1-2 tahun dengan epoxy

Follow Up :
1. SL cek price line by line the quotation item yang gede, is it reasonable dan sesuai market price? bcs we dont know the price at Thai
2. Nego yang termurah dan sesuai";"1. Sudah reasonable jg menurut pak david harga dia memang terbaik dan untuk line by line quotation sudah dikirimkan dengan nama file ""Cek Line Per Line dan Jawaban tertulis nego.""
2. Sudah di nego ke yang termurah 

Nama File : ""WBS Project EPR251100019 - Vote Komite""";;CONFIRMED;
308;2026-01-27;SL;EPR/2512/00043 ;;GRS (CATERING) I IOM : 00164/BKKGS/XI/2025 I (ELECTRONICS) Electrical equipment for In-Flight and Central Kitchen Office (KABEL 4 WARNA 9 ROLL TERBAGI 4 WARNA);963.000 THB/rolls (SANGCHAI CHAROEN ELECTRIC CO.,LTD.);20-Mar-25;Electrical equipment for in-flight and central kitchen office in container office. After the contractor finished the work, we hired 20 new officers. However, the power plugs installed by the contractor are not enough. Therefore, these items are needed for renovation to support the new officers at the In-Flight Service and Central Kitchen in the container zone (3 containers).;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2512/00043;RENDI;3 vendor : Lego Electric Co.Ltd, Nimble Corporation Company Limited, Pornvisawa Electric Co.Ltd;"Condition : permintaan 3 rolls untuk masing-masing warna BLUE, BROWN, GREEN, AND WHITE

Follow Up :
1. Nego & cek harga market
2. Rekap harga sebelum dan harga Indo";"1. Sudah dilakukan nego dan harga marketnya (kabel Rp 217,800 (50meter) krna kebutuhan 100 meter berarti x 2 = Rp 435,600)
2. Sudah direkap dan harga di Thai lebih murah drpd di Indo

Nama file : ""Electrical equipment for In-Flight and Central Kitchen Office Cable - EPR251200043 & EPR251200040 Electrical Material Rev 1-1""";;CONFIRMED;
309;2026-01-27;SL;EPR/2512/00040 ;;GRS (CATERING) I IOM : 00164/BKKGS/XI/2025 I (ELECTRONICS) Electrical equipment for In-Flight and Central Kitchen Office (BARANG ME);99 THB dgn 10 ea (SANGCHAI CHAROEN ELECTRIC CO.,LTD.);20-Mar-25;Electrical equipment for in-flight and central kitchen office in container office. After the contractor finished the work, we hired 20 new officers. However, the power plugs installed by the contractor are not enough. Therefore, these items are needed for renovation to support the new officers at the In-Flight Service and Central Kitchen in the container zone (3 containers).;https://eproc.lionairthai.com/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2512/00040;RENDI;3 vendor : Lego Electric Co.Ltd, PC Lux Lighting Co.Ltd, Pornvisawa Electric Co.Ltd;"Condition : permintaan 30 pcs dengan model 4040 one pack contains 5 piecesone pack contains 5 pieces, permintaan barang-barang ME untuk instalasi komputer (list item di WA)

Follow Up :
1. Rekap harganya sebelum dan harga Indo
2. Nego yang termurah";"1. Sudah direkap harga dan compare dengan harga Indo. Ada beberapa lebih mahal dan lebih murah (bisa dicek di filenya) dr Indo karena gabisa, mas rendi sudah berusaha minta seperti itu sampai 2x, mereka sudah kasih best price (terlampir bukti negonya), memang beda2 tipis krna yg lebih murah thai jg selisih nya jg lebih banyak
2. They can't offer more dicount due to they already give us the best price";#NAME?;CONFIRMED;
310;2026-01-27;JT;EPR/2511/00150 ;;PEKERJAAN INSTALASI FIRE SISTEM FOAM DAN PENAMBAHAN POMPA KAPASITAS 500GPM DI PERKANTORAN LOC;;;"PEKERJAAN HYDRANT SYSTEM & INSTALASI MAINLINE KE FOAM SYSTEM LOC 500 GPM
PEKERJAAN HYDRANT SYSTEM
(1) DIESEL HYDRANT PUMP (2) ELEKTRIK HYDRANT PUMP (3) JOCKERY PUMP 
TERMASUK PEKERJAAN PRESSURE TANK, PEKERJAAN, PEKERJAAAN PANEL AUTOMATIC, PEKERJAAN PERKABELAN, PEKERJAAN PERPIPAAN RUMAH POMPA, PEKERJAAN KATUP-KATUP RUANG POMPA DAN INSTALASI HYDRANT OUTDOOR KE INSTALASI FOAM SYSTEM";https://eproc.lionair.co.id/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2511/00150;RENDI;3 vendor : PT Triguna Garda Sejahtera, Tri Eltree Elemen, Welsa Inti Sentosa;"Condition : merupakan permintaan baru, dan permintaan saat ini 1 lot, dari vendor menyarankan instalasi hydrant baru aja daripada pakai yang lama karena perbaikan instalasi lama lebih mahal (kebutuhan untuk foam system)

Follow Up :
1. Cek historical & kronologis histroy";;;;
311;2026-01-27;JT;EPR/2511/00138 ;;PENGECATAN, PEMBERSIHAN KACA, PEMBERSIHAN ACP , CLEANING EKSTERIOR DAN PENGECATAN PAGAR GEDUNG LOC;CAT EXTERIOR : 53.000/M2, CAT INTERIOR : 35.000/M2 (ENGGAL BANGUN JAYA);30-Apr-25;PENGECATAN EXTERIOR, PEMBERSIHAN KACA LENGKUNG, PERBAIKAN PLAFON, PEKERJAAN PAGAR TERMASUK (PENGECATAN POS SATPAM, PIPA PAGAR SAMPING DAN DINDING BATA PAGAR SAMPING) UNTUK PENYEGARAN CAT EXTERIOR GEDUNG MERAH DAN BIRU LOC SERTA PEMBERSIHAN ACP SERTA PERBAIKAN PLAFON, PEMBERSIHAN KACA LENGKUNG, DAN PENGECATAN OUTDOOR UNTUK AREA POS SECUTIRY DAN PAGAR DEPAN.;https://eproc.lionair.co.id/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2511/00138;RENDI;3 vendor : Cahaya Karya Prakarsa, Enggal Bangun Jaya, Putra Mitra Semesta;"Condition : permintaan 1 lot dan yang khusus exterior dulux weathershield, yang dikerjain :
- Pengecatan exterior kantor dan bengkel, gedung merah, gedung biru, dan pagar
- Pembersihan ACP Gedung Merah dan Gedung Biru

BOQ sudah dicek oleh Ko David, ini permintaan yang sebelumnya ada jendela tapi sudah dikeluarkan dlm list (selisih 200jutaan)

Follow Up :
1. Dari Ibu sudah oke
2. Cek line by line
3. Cek harga pasar terkait scoop pekerjaan
4. Nego";"1. Sudah dicek lg dan oke dari Ibu
2. Sudah dikirimkan line by linenya di file ""Line Per Line ACP LOC (1)""
3. Sudah oleh Ko David sudah oke
4. Sudah dinego

Nama File ""Vote Komite Pengecatan Loc dan Pembersihan ACP Bq""
Ada revisi lagi dari tim audit sipil, revisi pada ""Pengecatan Pagar Tempa Sisi Depan"", dari 480m2 jadi 251m2 dan sudah saya merahin yaa mba ditandain yang direvisi - berikut file revisi ""Pengecatan LOC dan Pembersihan ACP (Vote Komite New),""";;CONFIRMED;
